method,dataset,native_ratio_label,native_ratio_value,keep_fraction,ppl,n_samples,elapsed_s,source
PrefixKV,detail_1k,remove,0.9,0.1,4.40625,1000,,/workspace/PrefixKV/logs/detail1k-gpu0/prefixkv/0.9/2026-04-21-21-51-21.txt
PrefixKV,detail_1k,remove,0.7,0.3,3.484375,1000,,/workspace/PrefixKV/logs/detail1k-gpu0/prefixkv/0.7/2026-04-21-20-41-43.txt
PrefixKV,detail_1k,remove,0.5,0.5,3.40625,1000,,/workspace/PrefixKV/logs/detail1k-gpu0/prefixkv/0.5/2026-04-20-22-24-19.txt
PrefixKV,detail_1k,remove,0.3,0.7,3.25,1000,,/workspace/PrefixKV/logs/detail1k-gpu0/prefixkv/0.3/2026-04-21-19-31-30.txt
PrefixKV,detail_1k,remove,0.2,0.8,3.203125,1000,,/workspace/PrefixKV/logs/detail1k-gpu1/prefixkv/0.2/2026-04-21-16-01-12.txt
PrefixKV,detail_1k,remove,0.1,0.9,3.203125,1000,,/workspace/PrefixKV/logs/detail1k-gpu0/prefixkv/0.1/2026-04-21-18-22-14.txt
zap_future_v5_image,detail_1k,image_keep,0.1,0.1,3.090742676053844,1000,2883.9206445217133,/workspace/zap/artifacts/EXP-20260420-003/detail1k/future_v5_k0p1/result.json
zap_future_v5_image,detail_1k,image_keep,0.2,0.2,3.0335045816621853,1000,2911.524842262268,/workspace/zap/artifacts/EXP-20260420-003/detail1k/future_v5_k0p2/result.json
zap_future_v5_image,detail_1k,image_keep,0.3,0.3,3.0001116307553906,1000,2894.7926018238068,/workspace/zap/artifacts/EXP-20260420-003/detail1k/future_v5_k0p3/result.json
zap_future_v5_image,detail_1k,image_keep,0.5,0.5,2.965926750080186,1000,2872.4064857959747,/workspace/zap/artifacts/EXP-20260420-003/detail1k/future_v5_k0p5/result.json
zap_future_v5_image,detail_1k,image_keep,0.7,0.7,2.9545261719621467,1000,2866.408222436905,/workspace/zap/artifacts/EXP-20260420-003/detail1k/future_v5_k0p7/result.json
zap_future_v5_image,detail_1k,image_keep,0.9,0.9,2.9528719758402153,1000,2874.1409747600555,/workspace/zap/artifacts/EXP-20260420-003/detail1k/future_v5_k0p9/result.json
zap_future_v5_total,detail_1k,total_keep,0.1,0.1,3.128644439167664,1000,2889.0469748973846,/workspace/zap/artifacts/EXP-20260420-003/detail1k/future_v5_tot0p1/result.json
zap_future_v5_total,detail_1k,total_keep,0.3,0.3,3.0072520428882172,1000,2857.573009967804,/workspace/zap/artifacts/EXP-20260420-003/detail1k/future_v5_tot0p3/result.json
zap_future_v5_total,detail_1k,total_keep,0.5,0.5,2.968724508137662,1000,2840.88423705101,/workspace/zap/artifacts/EXP-20260420-003/detail1k/future_v5_tot0p5/result.json
zap_future_v5_total,detail_1k,total_keep,0.7,0.7,2.9549096565325943,1000,2866.3787186145782,/workspace/zap/artifacts/EXP-20260420-003/detail1k/future_v5_tot0p7/result.json
zap_future_v5_total,detail_1k,total_keep,0.9,0.9,2.9526241534904556,1000,2844.3666927814484,/workspace/zap/artifacts/EXP-20260420-003/detail1k/future_v5_tot0p9/result.json
PrefixKV,mm-vet,remove,0.9,0.1,7.375,218,,/workspace/PrefixKV/logs/mmvet-gpu0/prefixkv/0.9/2026-04-21-17-13-22.txt
PrefixKV,mm-vet,remove,0.7,0.3,5.71875,218,,/workspace/PrefixKV/logs/mmvet-gpu0/prefixkv/0.7/2026-04-21-17-01-49.txt
PrefixKV,mm-vet,remove,0.5,0.5,5.5,218,,/workspace/PrefixKV/logs/mmvet-gpu1/prefixkv/0.5/2026-04-20-10-27-51.txt
PrefixKV,mm-vet,remove,0.3,0.7,5.375,218,,/workspace/PrefixKV/logs/mmvet-gpu0/prefixkv/0.3/2026-04-21-16-50-18.txt
PrefixKV,mm-vet,remove,0.2,0.8,5.28125,218,,/workspace/PrefixKV/logs/mmvet-gpu1/prefixkv/0.2/2026-04-21-14-47-31.txt
PrefixKV,mm-vet,remove,0.1,0.9,5.28125,218,,/workspace/PrefixKV/logs/mmvet-gpu0/prefixkv/0.1/2026-04-21-16-38-41.txt
zap_future_v5_image,mm-vet,image_keep,0.1,0.1,5.107870608415983,218,460.51517367362976,/workspace/zap/artifacts/EXP-20260420-003/mmvet/future_v5_k0p1/result.json
zap_future_v5_image,mm-vet,image_keep,0.2,0.2,5.087950751699825,218,463.61717438697815,/workspace/zap/artifacts/EXP-20260420-003/mmvet/future_v5_k0p2/result.json
zap_future_v5_image,mm-vet,image_keep,0.3,0.3,5.0806389062147765,218,456.9656219482422,/workspace/zap/artifacts/EXP-20260420-003/mmvet/future_v5_k0p3/result.json
zap_future_v5_image,mm-vet,image_keep,0.5,0.5,5.104671599662977,218,464.06629371643066,/workspace/zap/artifacts/EXP-20260420-003/mmvet/future_v5_k0p5/result.json
zap_future_v5_image,mm-vet,image_keep,0.7,0.7,5.129043826260532,218,463.9007821083069,/workspace/zap/artifacts/EXP-20260420-003/mmvet/future_v5_k0p7/result.json
zap_future_v5_image,mm-vet,image_keep,0.9,0.9,5.137282405468707,218,456.5212845802307,/workspace/zap/artifacts/EXP-20260420-003/mmvet/future_v5_k0p9/result.json
zap_future_v5_total,mm-vet,total_keep,0.1,0.1,5.145214835119094,218,450.93177366256714,/workspace/zap/artifacts/EXP-20260420-003/mmvet/future_v5_tot0p1/result.json
zap_future_v5_total,mm-vet,total_keep,0.3,0.3,5.083335407971847,218,454.1576015949249,/workspace/zap/artifacts/EXP-20260420-003/mmvet/future_v5_tot0p3/result.json
zap_future_v5_total,mm-vet,total_keep,0.5,0.5,5.102693086957793,218,459.82533049583435,/workspace/zap/artifacts/EXP-20260420-003/mmvet/future_v5_tot0p5/result.json
zap_future_v5_total,mm-vet,total_keep,0.7,0.7,5.126375180941266,218,452.7451763153076,/workspace/zap/artifacts/EXP-20260420-003/mmvet/future_v5_tot0p7/result.json
zap_future_v5_total,mm-vet,total_keep,0.9,0.9,5.137720536792916,218,447.76305985450745,/workspace/zap/artifacts/EXP-20260420-003/mmvet/future_v5_tot0p9/result.json
zap_h2o_all_token,mm-vet,total_keep,0.1,0.1,6.1134741596973585,218,509.94870591163635,/workspace/zap/artifacts/EXP-20260420-003/mmvet/h2oall_tot0p1/result.json
zap_h2o_all_token,mm-vet,total_keep,0.3,0.3,5.878100033108207,218,504.0200619697571,/workspace/zap/artifacts/EXP-20260420-003/mmvet/h2oall_tot0p3/result.json
zap_h2o_all_token,mm-vet,total_keep,0.5,0.5,5.49125216283579,218,503.66842460632324,/workspace/zap/artifacts/EXP-20260420-003/mmvet/h2oall_tot0p5/result.json
zap_h2o_all_token,mm-vet,total_keep,0.7,0.7,5.3396944786059795,218,504.96081733703613,/workspace/zap/artifacts/EXP-20260420-003/mmvet/h2oall_tot0p7/result.json
zap_h2o_all_token,mm-vet,total_keep,0.9,0.9,5.199201692337227,218,510.04151129722595,/workspace/zap/artifacts/EXP-20260420-003/mmvet/h2oall_tot0p9/result.json
zap_hybrid_a050,mm-vet,total_keep,0.1,0.1,5.080299691192683,218,507.154278755188,/workspace/zap/artifacts/EXP-20260420-003/mmvet/hybrid_a050_tot0p1/result.json
zap_hybrid_a050,mm-vet,total_keep,0.3,0.3,5.074011986983612,218,504.18052434921265,/workspace/zap/artifacts/EXP-20260420-003/mmvet/hybrid_a050_tot0p3/result.json
zap_hybrid_a050,mm-vet,total_keep,0.5,0.5,5.082701738426839,218,502.54558849334717,/workspace/zap/artifacts/EXP-20260420-003/mmvet/hybrid_a050_tot0p5/result.json
