method,keep_ratio,ppl,n_samples,n_failures,path
full,,5.253552869690679,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/full/ppl/result.json
random_image_only,0.1,5.292502959296294,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_image_only/keep_0p1/ppl/result.json
random_image_only,0.2,5.228072831471961,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_image_only/keep_0p2/ppl/result.json
random_image_only,0.3,5.199379582796197,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_image_only/keep_0p3/ppl/result.json
random_image_only,0.4,5.197121911270047,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_image_only/keep_0p4/ppl/result.json
random_image_only,0.5,5.2161930152222515,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_image_only/keep_0p5/ppl/result.json
random_image_only,0.6,5.241947389681838,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_image_only/keep_0p6/ppl/result.json
random_image_only,0.7,5.248978965573421,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_image_only/keep_0p7/ppl/result.json
random_image_only,0.8,5.249156921553678,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_image_only/keep_0p8/ppl/result.json
random_image_only,0.9,5.25096949948678,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_image_only/keep_0p9/ppl/result.json
random_all_token,0.1,37.73486462702548,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_all_token/keep_0p1/ppl/result.json
random_all_token,0.2,75.89150859915121,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_all_token/keep_0p2/ppl/result.json
random_all_token,0.3,54.71045870991484,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_all_token/keep_0p3/ppl/result.json
random_all_token,0.4,27.72936531917747,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_all_token/keep_0p4/ppl/result.json
random_all_token,0.5,14.573463736035995,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_all_token/keep_0p5/ppl/result.json
random_all_token,0.6,8.431102445371469,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_all_token/keep_0p6/ppl/result.json
random_all_token,0.7,6.367298830990542,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_all_token/keep_0p7/ppl/result.json
random_all_token,0.8,5.6967472675055815,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_all_token/keep_0p8/ppl/result.json
random_all_token,0.9,5.394382909345487,218,0,/workspace/zap/experiments/EXP-20260428-005-mmvet-random-scope-ppl/outputs/random_all_token/keep_0p9/ppl/result.json
