level,category,task_code,task_name,task_dataset_name,dataset,metric,method,ratio,score,score_percent,n_samples,n_failures,components
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Localization,ActionLocalization,Accuracy,LOOK-M,0.01,0.240000,24,,,
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Prediction,ActionPrediction,Accuracy,LOOK-M,0.01,0.470000,47,,,
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Sequence,ActionSequence,Accuracy,LOOK-M,0.01,0.420000,42,,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Moving Attribute,MovingAttribute,Accuracy,LOOK-M,0.01,0.470000,47,,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Existence,ObjectExistence,Accuracy,LOOK-M,0.01,0.530000,53,,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Interaction,ObjectInteraction,Accuracy,LOOK-M,0.01,0.460000,46,,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Shuffle,ObjectShuffle,Accuracy,LOOK-M,0.01,0.340000,34,,,
dataset,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,Egocentric Navigation,EgocentricNavigation,Accuracy,LOOK-M,0.01,0.325000,32.5,,,
dataset,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,Moving Direction,MovingDirection,Accuracy,LOOK-M,0.01,0.310000,31,,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Character Order,CharacterOrder,Accuracy,LOOK-M,0.01,0.225000,22.5,,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Counterfactual Inference,CounterfactualInference,Accuracy,LOOK-M,0.01,0.270000,27,,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Scene Transition,SceneTransition,Accuracy,LOOK-M,0.01,0.635000,63.5,,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,State Change,StateChange,Accuracy,LOOK-M,0.01,0.360000,36,,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Complex Multimodal QA,MultiModalQA,Accuracy,LOOK-M,0.01,0.675000,67.5,,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Textbook QA,TQA,Accuracy,LOOK-M,0.01,0.440000,44,,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Webpage QA,WebQA,Accuracy,LOOK-M,0.01,0.575000,57.5,,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Long Text with Images QA,WikiVQA,Accuracy,LOOK-M,0.01,0.680000,68,,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,Document QA,DocVQA,Accuracy,LOOK-M,0.01,0.435000,43.5,,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,OCR QA,OCR-VQA,Accuracy,LOOK-M,0.01,0.100000,10,,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,Slide QA,SlideVQA,Accuracy,LOOK-M,0.01,0.430000,43,,,
