config,n_images,image_px,L_p,n_img_tokens,method,ratio,ttft_ms_median,student_ms_median,overhead_ms,overhead_pct
1img_336px,1,336,1517,1485,full,1.0,169.05,0.0,0.0,0.0
1img_336px,1,336,1517,1485,student_keep0.2,0.2,216.53,22.31,47.48,28.09
1img_336px,1,336,1517,1485,student_keep0.05,0.05,217.34,22.22,48.29,28.57
1img_672px,1,672,3731,3699,full,1.0,439.57,0.0,0.0,0.0
1img_672px,1,672,3731,3699,student_keep0.2,0.2,499.19,21.18,59.62,13.56
1img_672px,1,672,3731,3699,student_keep0.05,0.05,495.93,20.85,56.36,12.82
1img_1008px,1,1008,7403,7371,full,1.0,911.14,0.0,0.0,0.0
1img_1008px,1,1008,7403,7371,student_keep0.2,0.2,999.48,21.38,88.34,9.7
1img_1008px,1,1008,7403,7371,student_keep0.05,0.05,1000.04,21.53,88.9,9.76
2img_384px,2,384,3003,2970,full,1.0,344.52,0.0,0.0,0.0
2img_384px,2,384,3003,2970,student_keep0.2,0.2,394.85,20.81,50.33,14.61
2img_384px,2,384,3003,2970,student_keep0.05,0.05,394.45,20.68,49.93,14.49
4img_384px,4,384,5975,5940,full,1.0,726.12,0.0,0.0,0.0
4img_384px,4,384,5975,5940,student_keep0.2,0.2,799.96,20.81,73.84,10.17
4img_384px,4,384,5975,5940,student_keep0.05,0.05,799.5,20.83,73.38,10.11
8img_384px,8,384,11919,11880,full,1.0,1534.84,0.0,0.0,0.0
8img_384px,8,384,11919,11880,student_keep0.2,0.2,1651.8,21.17,116.96,7.62
8img_384px,8,384,11919,11880,student_keep0.05,0.05,1652.29,20.91,117.45,7.65
