dataset,metric,mode,ratio,score,n_samples,n_failures
detail_1k,PPL,future_all_token,0.1,4.1397,1000,0
detail_1k,PPL,future_all_token,0.2,3.3379,1000,0
detail_1k,PPL,future_all_token,0.3,3.2145,1000,0
detail_1k,PPL,future_all_token,0.4,3.1748,1000,0
detail_1k,PPL,future_all_token,0.5,3.1213,1000,0
detail_1k,PPL,future_all_token,0.6,3.0343,1000,0
detail_1k,PPL,future_all_token,0.7,2.9749,1000,0
detail_1k,PPL,future_all_token,0.8,2.9562,1000,0
detail_1k,PPL,future_all_token,0.9,2.9534,1000,0
detail_1k,ROUGE-L,future_all_token,0.1,0.3412,1000,0
detail_1k,ROUGE-L,future_all_token,0.2,0.3775,1000,0
detail_1k,ROUGE-L,future_all_token,0.3,0.3875,1000,0
detail_1k,ROUGE-L,future_all_token,0.4,0.3893,1000,0
detail_1k,ROUGE-L,future_all_token,0.5,0.3953,1000,0
detail_1k,ROUGE-L,future_all_token,0.6,0.4028,1000,0
detail_1k,ROUGE-L,future_all_token,0.7,0.4049,1000,0
detail_1k,ROUGE-L,future_all_token,0.8,0.4069,1000,0
detail_1k,ROUGE-L,future_all_token,0.9,0.4069,1000,0
mm-vet,PPL,future_all_token,0.1,7.2197,218,0
mm-vet,PPL,future_all_token,0.2,6.6463,218,0
mm-vet,PPL,future_all_token,0.3,6.3670,218,0
mm-vet,PPL,future_all_token,0.4,6.2002,218,0
mm-vet,PPL,future_all_token,0.5,5.9460,218,0
mm-vet,PPL,future_all_token,0.6,5.4876,218,0
mm-vet,PPL,future_all_token,0.7,5.2756,218,0
mm-vet,PPL,future_all_token,0.8,5.1540,218,0
mm-vet,PPL,future_all_token,0.9,5.1381,218,0
mm-vet,ROUGE-L,future_all_token,0.1,0.0854,218,0
mm-vet,ROUGE-L,future_all_token,0.2,0.0907,218,0
mm-vet,ROUGE-L,future_all_token,0.3,0.0941,218,0
mm-vet,ROUGE-L,future_all_token,0.4,0.0993,218,0
mm-vet,ROUGE-L,future_all_token,0.5,0.1064,218,0
mm-vet,ROUGE-L,future_all_token,0.6,0.1031,218,0
mm-vet,ROUGE-L,future_all_token,0.7,0.1015,218,0
mm-vet,ROUGE-L,future_all_token,0.8,0.1001,218,0
mm-vet,ROUGE-L,future_all_token,0.9,0.1010,218,0
