dataset_metric,0.2,0.05,0.01
ActionLocalization (Accuracy),23.0,24.0,24.0
ActionPrediction (Accuracy),48.0,48.0,47.0
ActionSequence (Accuracy),41.0,39.5,42.0
CharacterOrder (Accuracy),29.5,30.0,22.5
CounterfactualInference (Accuracy),29.0,29.0,27.0
EgocentricNavigation (Accuracy),31.5,32.0,32.5
MovingAttribute (Accuracy),47.0,47.0,47.0
MovingDirection (Accuracy),31.5,31.0,31.0
ObjectExistence (Accuracy),53.0,53.0,53.0
ObjectInteraction (Accuracy),46.5,46.5,46.0
ObjectShuffle (Accuracy),34.0,34.0,34.0
SceneTransition (Accuracy),72.0,72.0,63.5
StateChange (Accuracy),39.0,38.5,36.0
ALFRED (Rouge-L f),16.46,11.41,4.38
CLEVR-Change (Rouge-L f),17.35,15.38,0.66
DocVQA (Accuracy),46.0,43.5,43.5
IEdit (Rouge-L f),1.15,0.55,0.12
MMCoQA (Accuracy),36.5,35.0,36.0
MultiModalQA (Accuracy),69.5,68.5,67.5
nuscenes (Accuracy),64.5,64.5,64.0
OCR-VQA (Accuracy),10.0,10.5,10.0
SlideVQA (Accuracy),44.0,43.5,43.0
Spot-the-Diff (Rouge-L f),15.98,14.12,0.36
TQA (Accuracy),46.5,46.5,44.0
WebQA (Accuracy),58.5,57.5,57.5
WikiVQA (Accuracy),68.0,68.0,68.0
TextNeedleInAHaystack (Accuracy),20.62,20.94,20.94
ImageNeedleInAHaystack (Accuracy),0.0,0.0,0.0
GPR1200 (Accuracy),2.83,3.83,2.83
