variant,task,metric,value,n_predictions,n_failures,exact_match_accuracy
milebench_A_gqa_lr1e4_total0.1,ALFRED,ROUGE-L,0.2733975366414338,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,ActionLocalization,Accuracy,0.265,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,ActionPrediction,Accuracy,0.535,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,ActionSequence,Accuracy,0.46,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,CLEVR-Change,ROUGE-L,0.13538746655977785,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,CharacterOrder,Accuracy,0.49,200,0,0.025
milebench_A_gqa_lr1e4_total0.1,CounterfactualInference,Accuracy,0.32,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,DocVQA,Accuracy,0.51,200,0,0.005
milebench_A_gqa_lr1e4_total0.1,EgocentricNavigation,Accuracy,0.32,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,GPR1200,Accuracy,0.11333333333333333,600,0,0.11
milebench_A_gqa_lr1e4_total0.1,IEdit,ROUGE-L,0.11309263841376073,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,ImageNeedleInAHaystack,ROUGE-L,0.0,320,0,0.0
milebench_A_gqa_lr1e4_total0.1,MMCoQA,ROUGE-L,0.3659589285254299,200,0,0.29
milebench_A_gqa_lr1e4_total0.1,MovingAttribute,Accuracy,0.515,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,MovingDirection,Accuracy,0.335,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,MultiModalQA,Accuracy,0.76,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,OCR-VQA,Accuracy,0.32,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,ObjectExistence,Accuracy,0.49,200,0,0.04
milebench_A_gqa_lr1e4_total0.1,ObjectInteraction,Accuracy,0.52,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,ObjectShuffle,Accuracy,0.315,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,SceneTransition,Accuracy,0.765,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,SlideVQA,Accuracy,0.475,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,Spot-the-Diff,ROUGE-L,0.18648102087683643,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,StateChange,Accuracy,0.405,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,TQA,Accuracy,0.465,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,TextNeedleInAHaystack,ROUGE-L,0.058790006038647334,320,0,0.0
milebench_A_gqa_lr1e4_total0.1,WebQA,Accuracy,0.6,200,0,0.0
milebench_A_gqa_lr1e4_total0.1,WikiVQA,Accuracy,0.71,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,ALFRED,ROUGE-L,0.2776491707190589,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,ActionLocalization,Accuracy,0.265,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,ActionPrediction,Accuracy,0.535,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,ActionSequence,Accuracy,0.46,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,CLEVR-Change,ROUGE-L,0.12979716848102654,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,CharacterOrder,Accuracy,0.49,200,0,0.025
milebench_A_gqa_lr1e4_total0.2,CounterfactualInference,Accuracy,0.32,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,DocVQA,Accuracy,0.51,200,0,0.005
