dataset,method,keep_ratio,n_samples,ppl,rouge_l_vs_gt,rouge_l_vs_ourfull
mm-vet,A_gqa_lr1e4,0.1,218,,0.11188767585507377,0.6262962022302974
mm-vet,A_gqa_lr1e4,0.2,218,,0.10670350756469185,0.7383681722740459
mm-vet,A_gqa_lr1e4,0.3,218,,0.10354875129122675,0.7842181175807524
mm-vet,A_gqa_lr1e4,0.4,218,,0.10387743265205467,0.8184428270634297
mm-vet,A_gqa_lr1e4,0.5,218,,0.10281911341464073,0.8503525355303662
mm-vet,A_gqa_lr1e4,0.6,218,,0.1026575440891511,0.8529321545851906
mm-vet,A_gqa_lr1e4,0.7,218,,,0.8635231504314642
mm-vet,A_gqa_lr1e4,0.8,218,,,0.888711944402322
mm-vet,A_gqa_lr1e4,0.9,218,,,0.8979085429827431
mm-vet,A_image_only,0.3,218,5.136974834137356,,
mm-vet,A_image_only,0.5,218,5.143986746714593,,
mm-vet,A_image_only,0.7,218,5.151331214118406,,
mm-vet,A,0.1,218,5.16624327850953,0.09948674626832807,
mm-vet,A,0.2,218,5.140259325565285,0.09935568444574534,
mm-vet,A,0.3,218,5.1367410447573,0.10007886890067343,
mm-vet,A,0.4,218,5.14145613989373,0.10173390239866059,
mm-vet,A,0.5,218,5.145413880409518,0.10256228700467097,
mm-vet,A,0.6,218,5.148756025175631,0.10208077267557616,
mm-vet,A,0.7,218,5.15167287061543,0.10080840219791627,
mm-vet,A,0.8,218,5.153865165935581,0.09951847831295703,
mm-vet,A,0.9,218,5.157322466043451,0.09911073375495617,
mm-vet,B_image_only,0.3,218,5.124379693049381,,
mm-vet,B_image_only,0.5,218,5.129688823361981,,
mm-vet,B_image_only,0.7,218,5.133696890426504,,
mm-vet,B,0.1,218,5.105616751912028,,
mm-vet,B,0.2,218,5.1177653894810256,,
mm-vet,Bprime_image_only,0.3,218,5.128862669602068,,
mm-vet,Bprime_image_only,0.5,218,5.131606731009253,,
mm-vet,Bprime_image_only,0.7,218,5.135626407512272,,
mm-vet,full,1.0,218,5.136210484374746,0.10168837308926826,0.9993941097317052
mm-vet,traj,0.1,218,5.169638853357586,0.10621152591699198,
mm-vet,traj,0.2,218,5.136018051193332,0.10227677946735435,
mm-vet,traj,0.3,218,5.1284564389076985,0.10200859891907542,
mm-vet,traj,0.4,218,5.134816574782809,0.10297272793678143,
mm-vet,traj,0.5,218,5.139195521006394,0.09948378724303973,
mm-vet,traj,0.6,218,5.1404817823996956,0.10206787676490807,
mm-vet,traj,0.7,218,5.142787655147865,0.09734529213082004,
mm-vet,traj,0.8,218,5.145985347634124,0.10191430745302626,
mm-vet,traj,0.9,218,5.145899035030672,0.10219320621226863,
detail_1k,A_gqa_lr1e4,0.1,1000,,,0.5314359473674746
detail_1k,A_gqa_lr1e4,0.2,1000,2.9829764725686867,0.39850789261811403,0.6217937279699376
detail_1k,A_gqa_lr1e4,0.3,1000,,,0.678611539375913
detail_1k,A_gqa_lr1e4,0.4,1000,,,0.7213190933983443
detail_1k,A_gqa_lr1e4,0.5,1000,,,0.7564579341878248
detail_1k,A_gqa_lr1e4,0.6,1000,,,0.7908839032046499
detail_1k,A_gqa_lr1e4,0.7,1000,,,0.8194765059260096
detail_1k,A_gqa_lr1e4,0.8,1000,,,0.8415578861651292
detail_1k,A_gqa_lr1e4,0.9,1000,,,0.8566332296135274
detail_1k,A_image_only,0.3,1000,2.9644307623727255,,
detail_1k,A,0.1,1000,3.073966504137775,0.38593949546654255,
detail_1k,A,0.2,1000,2.9930840015596734,,
detail_1k,A,0.3,1000,2.968019081476464,,
detail_1k,A,0.4,1000,2.958683040546025,,
detail_1k,A,0.5,1000,2.9548089844466383,,
detail_1k,A,0.6,1000,2.9526930533089315,,
detail_1k,A,0.7,1000,2.951865680461851,,
detail_1k,A,0.8,1000,2.9514862381601854,,
detail_1k,A,0.9,1000,2.9518551270533653,,
detail_1k,B_image_only,0.3,1000,2.9536092840202604,,
detail_1k,Bprime_image_only,0.3,1000,2.9546409357137784,,
detail_1k,full,1.0,1000,2.956693247274014,,0.9999999950000241
