dataset,metric,keep_ratio,evict_ratio,value,source_file
coco,ppl,0.90,0.1,3.203125,/workspace/PrefixKV/logs/llava-7b-ppl-coco-zuyan-gpu2/prefixkv/0.1/2026-04-23-08-44-45.txt
coco,ppl,0.80,0.2,3.203125,/workspace/PrefixKV/logs/llava-7b-ppl-coco-zuyan-gpu2/prefixkv/0.2/2026-04-23-09-38-33.txt
coco,ppl,0.70,0.3,3.25,/workspace/PrefixKV/logs/llava-7b-ppl-coco-zuyan-gpu2/prefixkv/0.3/2026-04-23-10-29-02.txt
coco,ppl,0.60,0.4,3.40625,/workspace/PrefixKV/logs/llava-7b-ppl-coco-zuyan-gpu2/prefixkv/0.4/2026-04-23-11-26-16.txt
coco,ppl,0.50,0.5,3.40625,/workspace/PrefixKV/logs/llava-7b-ppl-coco-zuyan-gpu2/prefixkv/0.5/2026-04-24-00-32-46.txt
coco,ppl,0.40,0.6,3.40625,/workspace/PrefixKV/logs/llava-7b-ppl-coco-zuyan-gpu2/prefixkv/0.6/2026-04-23-12-21-12.txt
coco,ppl,0.30,0.7,3.484375,/workspace/PrefixKV/logs/llava-7b-ppl-coco-zuyan-gpu2/prefixkv/0.7/2026-04-23-13-12-44.txt
coco,ppl,0.20,0.8,3.6875,/workspace/PrefixKV/logs/llava-7b-ppl-coco-zuyan-gpu2/prefixkv/0.8/2026-04-23-14-02-26.txt
coco,ppl,0.10,0.9,4.40625,/workspace/PrefixKV/logs/llava-7b-ppl-coco-zuyan-gpu2/prefixkv/0.9/2026-04-23-14-51-22.txt
mmvet,ppl,0.90,0.1,5.28125,/workspace/PrefixKV/logs/llava-7b-ppl-mmvet-zuyan-gpu2/prefixkv/0.1/2026-04-23-14-59-19.txt
mmvet,ppl,0.80,0.2,5.28125,/workspace/PrefixKV/logs/llava-7b-ppl-mmvet-zuyan-gpu2/prefixkv/0.2/2026-04-23-15-07-16.txt
mmvet,ppl,0.70,0.3,5.375,/workspace/PrefixKV/logs/llava-7b-ppl-mmvet-zuyan-gpu2/prefixkv/0.3/2026-04-23-15-15-16.txt
mmvet,ppl,0.60,0.4,5.40625,/workspace/PrefixKV/logs/llava-7b-ppl-mmvet-zuyan-gpu2/prefixkv/0.4/2026-04-23-15-23-14.txt
mmvet,ppl,0.50,0.5,5.5,/workspace/PrefixKV/logs/llava-7b-ppl-mmvet-zuyan-gpu2/prefixkv/0.5/2026-04-23-15-31-13.txt
mmvet,ppl,0.40,0.6,5.53125,/workspace/PrefixKV/logs/llava-7b-ppl-mmvet-zuyan-gpu2/prefixkv/0.6/2026-04-23-15-39-11.txt
mmvet,ppl,0.30,0.7,5.71875,/workspace/PrefixKV/logs/llava-7b-ppl-mmvet-zuyan-gpu2/prefixkv/0.7/2026-04-23-15-47-08.txt
mmvet,ppl,0.20,0.8,5.96875,/workspace/PrefixKV/logs/llava-7b-ppl-mmvet-zuyan-gpu2/prefixkv/0.8/2026-04-23-15-55-02.txt
mmvet,ppl,0.10,0.9,7.375,/workspace/PrefixKV/logs/llava-7b-ppl-mmvet-zuyan-gpu2/prefixkv/0.9/2026-04-23-16-02-50.txt
coco,rouge,0.90,0.1,0.7762855290413178,/workspace/PrefixKV/logs/llava-7b-rouge-coco-zuyan-gpu1/prefixkv/0.1/2026-04-23-10-25-43.txt
coco,rouge,0.80,0.2,0.7385694237626989,/workspace/PrefixKV/logs/llava-7b-rouge-coco-zuyan-gpu1/prefixkv/0.2/2026-04-23-11-26-16.txt
coco,rouge,0.70,0.3,0.6283939532828052,/workspace/PrefixKV/logs/llava-7b-rouge-coco-zuyan-gpu1/prefixkv/0.3/2026-04-24-01-37-27.txt
coco,rouge,0.60,0.4,0.5858559541039757,/workspace/PrefixKV/logs/llava-7b-rouge-coco-zuyan-gpu1/prefixkv/0.4/2026-04-23-12-21-12.txt
coco,rouge,0.50,0.5,0.5760315409324432,/workspace/PrefixKV/logs/llava-7b-rouge-coco-zuyan-gpu1/prefixkv/0.5/2026-04-23-13-11-17.txt
coco,rouge,0.40,0.6,0.568912462988772,/workspace/PrefixKV/logs/llava-7b-rouge-coco-zuyan-gpu1/prefixkv/0.6/2026-04-23-13-55-12.txt
coco,rouge,0.30,0.7,0.5505287296541911,/workspace/PrefixKV/logs/llava-7b-rouge-coco-zuyan-gpu1/prefixkv/0.7/2026-04-23-14-37-28.txt
coco,rouge,0.20,0.8,0.5109921487341027,/workspace/PrefixKV/logs/llava-7b-rouge-coco-zuyan-gpu1/prefixkv/0.8/2026-04-23-15-12-59.txt
coco,rouge,0.10,0.9,0.43057153911499235,/workspace/PrefixKV/logs/llava-7b-rouge-coco-zuyan-gpu1/prefixkv/0.9/2026-04-23-15-48-02.txt
mmvet,rouge,0.90,0.1,0.7674554200491002,/workspace/PrefixKV/logs/llava-7b-rouge-mmvet-zuyan-gpu1/prefixkv/0.1/2026-04-23-16-05-22.txt
mmvet,rouge,0.80,0.2,0.7378825359271209,/workspace/PrefixKV/logs/llava-7b-rouge-mmvet-zuyan-gpu1/prefixkv/0.2/2026-04-23-16-14-23.txt
mmvet,rouge,0.70,0.3,0.5966481514341478,/workspace/PrefixKV/logs/llava-7b-rouge-mmvet-zuyan-gpu1/prefixkv/0.3/2026-04-24-01-46-57.txt
mmvet,rouge,0.60,0.4,0.491099541259369,/workspace/PrefixKV/logs/llava-7b-rouge-mmvet-zuyan-gpu1/prefixkv/0.4/2026-04-24-01-56-31.txt
mmvet,rouge,0.50,0.5,0.48341268035391666,/workspace/PrefixKV/logs/llava-7b-rouge-mmvet-zuyan-gpu1/prefixkv/0.5/2026-04-23-16-25-34.txt
