layer,spearman_mean,spearman_std,overlap_mean,overlap_std
0,0.5670420849715545,0.0302676681141441,0.48586264618030767,0.036002153373951865
1,0.5542654961125961,0.039187561549557354,0.4723310378394099,0.0328535483288816
2,0.6339806204909028,0.04609985026695064,0.571891422801947,0.031436930690683144
3,0.4840721289102025,0.09326774621940222,0.5013310153088316,0.03864284791665296
4,0.700394593574638,0.037136281644427074,0.6106587185442262,0.03700317214650549
5,0.7719233895747396,0.02766581147970792,0.7026183228682311,0.03561559926588266
6,0.6595537207423078,0.03172404311211536,0.6030991240882881,0.037434479665459645
7,0.6982192121607298,0.041275727609309296,0.6401164462465144,0.05097775200616546
8,0.6802541216638709,0.0797013198914597,0.5788233376657178,0.08352598163713733
9,0.7678128426685643,0.05341254373622707,0.6653540138489614,0.06406337277309736
10,0.6409079762478105,0.08776835896649429,0.5789243252274633,0.07657642560929864
11,0.6229364947849766,0.1010131137489593,0.5824077089043425,0.08064782878815803
12,0.6462174262763913,0.10429234365570104,0.5696449259459818,0.08298639690249449
13,0.5727721282261153,0.14853505926906507,0.5064862970867008,0.11906815473135104
14,0.583810133778481,0.1355084413656575,0.524987468845307,0.09995852509834154
15,0.5638275068668593,0.124240126791385,0.5000555333875184,0.08296908774190954
16,0.5599296020339679,0.17799077242309794,0.4795010405473168,0.138409329605873
17,0.5873302412781342,0.14570833287386722,0.4876871098620443,0.10015887944769976
18,0.61283352434076,0.11385771643879569,0.5162647683747186,0.09289458005339923
19,0.5775433575814184,0.1355954762721059,0.48469491732675307,0.10789600959624747
20,0.6290102134024151,0.08432633622750371,0.5259086419327008,0.07128548330366791
21,0.6409568323306487,0.10238410980976127,0.5497737214127119,0.0847536494802988
22,0.6588335725211506,0.09340616890340624,0.5744817130412249,0.08299221276652952
23,0.633323450249674,0.08658578791941936,0.5477026013861245,0.07575046364097839
24,0.6685863515614314,0.06961893470957903,0.5874617365911842,0.06263867791750817
25,0.640948462126182,0.07358019751740785,0.5351011068079129,0.07060120110530688
26,0.6966580866233548,0.07660559575477233,0.6053351951218486,0.07436763261324383
27,0.4918166715549966,0.12388476567551727,0.3392869951387686,0.17157579691428793
