layer,mean,std,median,q25,q75
0,0.9071335319918815,0.01791850755790579,0.9118247330188751,0.8953566700220108,0.9193767607212067
1,0.9054650703463891,0.012205571198142898,0.9056174457073212,0.8984478116035461,0.913773313164711
2,0.9284626528470203,0.016659184581257105,0.9313846528530121,0.9208116233348846,0.9407396167516708
3,0.9258926781741056,0.014983312182548893,0.9267333149909973,0.917153537273407,0.9371083974838257
4,0.8652462071240551,0.028710501414201818,0.8680387735366821,0.8482164144515991,0.8843628168106079
5,0.8883994092242886,0.01917909900480232,0.8873256742954254,0.8752452582120895,0.9019412696361542
6,0.8984916222215903,0.02342740099535095,0.9021061658859253,0.8818766176700592,0.9153442084789276
7,0.8845610748035739,0.021522813754865245,0.8867620229721069,0.8710397779941559,0.9019763618707657
8,0.8360890544424153,0.054107124754305375,0.8520300984382629,0.8088754415512085,0.8752298355102539
9,0.8321205212010278,0.04315657523060541,0.8414525091648102,0.8016975224018097,0.869092270731926
10,0.894128374078057,0.023235432259632958,0.8944615721702576,0.8758539706468582,0.9144711345434189
11,0.8611701326538818,0.028788632764033827,0.8634270131587982,0.8460670709609985,0.8811638951301575
12,0.873850230315719,0.027124536608968294,0.8772988021373749,0.8583197146654129,0.8922896832227707
13,0.878053033592725,0.03205338232096857,0.8854524791240692,0.8535730838775635,0.9031370133161545
14,0.810456845495436,0.05693303689400367,0.8160961270332336,0.7709691226482391,0.8546577990055084
15,0.8483737523507591,0.05705788344003016,0.8594025373458862,0.8085545003414154,0.8950221836566925
16,0.8231864640809069,0.05230808407091244,0.8266590535640717,0.7907692044973373,0.8658186048269272
17,0.849557661347919,0.05269595544174895,0.8594966232776642,0.8125698566436768,0.8939989060163498
18,0.8656841582722135,0.034839212140225055,0.8703770339488983,0.8417029827833176,0.8925429433584213
19,0.7989732325077057,0.0659418594571547,0.8139485418796539,0.7649272978305817,0.8502727001905441
20,0.8356135815683038,0.05323460974422067,0.8482089042663574,0.8057140111923218,0.8743600994348526
21,0.8136760490109222,0.06512419183573503,0.8265231251716614,0.7838153392076492,0.8607447892427444
22,0.7671888898117374,0.07703082413198604,0.7597348093986511,0.707184761762619,0.8397538214921951
23,0.8074782147552028,0.05644171593123406,0.8162177205085754,0.7662636190652847,0.8549671024084091
24,0.8696426631826343,0.02689452929745448,0.8711645305156708,0.8566434532403946,0.8874768167734146
25,0.8512506536161056,0.04198526787296339,0.8604356646537781,0.8261479735374451,0.8835082650184631
26,0.8378262218802867,0.03269184869040069,0.8428475558757782,0.8206829726696014,0.8602384477853775
27,0.8675191019972165,0.023636792808724397,0.8696715533733368,0.857232004404068,0.8817317485809326
