layer,sample_idx,correct
full_cache,0,0
full_cache,1,0
full_cache,2,0
full_cache,3,1
full_cache,4,1
full_cache,5,0
full_cache,6,1
full_cache,7,0
full_cache,8,0
full_cache,9,0
full_cache,10,1
full_cache,11,0
full_cache,12,0
full_cache,13,0
full_cache,14,0
full_cache,15,0
full_cache,16,1
full_cache,17,1
full_cache,18,0
full_cache,19,0
full_cache,20,1
full_cache,21,0
full_cache,22,1
full_cache,23,1
full_cache,24,1
full_cache,25,0
full_cache,26,0
full_cache,27,1
full_cache,28,1
full_cache,29,0
full_cache,30,0
full_cache,31,0
full_cache,32,0
full_cache,33,0
full_cache,34,1
full_cache,35,1
full_cache,36,1
full_cache,37,1
full_cache,38,1
full_cache,39,0
full_cache,40,0
full_cache,41,0
full_cache,42,0
full_cache,43,1
full_cache,44,0
full_cache,45,1
full_cache,46,0
full_cache,47,0
full_cache,48,0
full_cache,49,1
full_cache,50,0
full_cache,51,0
full_cache,52,0
full_cache,53,0
full_cache,54,0
full_cache,55,0
full_cache,56,1
full_cache,57,0
full_cache,58,1
full_cache,59,1
full_cache,60,0
full_cache,61,0
full_cache,62,0
full_cache,63,0
full_cache,64,0
full_cache,65,0
full_cache,66,0
full_cache,67,0
full_cache,68,1
full_cache,69,0
full_cache,70,0
full_cache,71,0
full_cache,72,1
full_cache,73,0
full_cache,74,0
full_cache,75,0
full_cache,76,1
full_cache,77,1
full_cache,78,0
full_cache,79,0
full_cache,80,0
full_cache,81,0
full_cache,82,1
full_cache,83,1
full_cache,84,0
full_cache,85,0
full_cache,86,0
full_cache,87,0
full_cache,88,0
full_cache,89,1
full_cache,90,0
full_cache,91,0
full_cache,92,0
full_cache,93,1
full_cache,94,0
full_cache,95,0
full_cache,96,1
full_cache,97,1
full_cache,98,0
full_cache,99,0
full_cache,100,0
full_cache,101,0
full_cache,102,1
full_cache,103,0
full_cache,104,0
full_cache,105,0
full_cache,106,0
full_cache,107,0
full_cache,108,0
full_cache,109,0
full_cache,110,1
full_cache,111,1
full_cache,112,0
full_cache,113,0
full_cache,114,0
full_cache,115,0
full_cache,116,1
full_cache,117,0
full_cache,118,0
full_cache,119,1
full_cache,120,1
full_cache,121,0
full_cache,122,0
full_cache,123,0
full_cache,124,1
full_cache,125,0
full_cache,126,0
full_cache,127,0
full_cache,128,0
full_cache,129,0
full_cache,130,0
full_cache,131,0
full_cache,132,1
full_cache,133,1
full_cache,134,0
full_cache,135,0
full_cache,136,0
full_cache,137,0
full_cache,138,0
full_cache,139,0
full_cache,140,1
full_cache,141,0
full_cache,142,0
full_cache,143,1
full_cache,144,0
full_cache,145,0
full_cache,146,1
full_cache,147,0
full_cache,148,0
full_cache,149,0
full_cache,150,0
full_cache,151,0
full_cache,152,0
full_cache,153,0
full_cache,154,0
full_cache,155,0
full_cache,156,1
full_cache,157,0
full_cache,158,0
full_cache,159,0
full_cache,160,0
full_cache,161,0
full_cache,162,0
full_cache,163,0
full_cache,164,0
full_cache,165,0
full_cache,166,1
full_cache,167,1
full_cache,168,1
full_cache,169,1
full_cache,170,0
full_cache,171,0
full_cache,172,0
full_cache,173,1
full_cache,174,0
full_cache,175,1
full_cache,176,0
full_cache,177,0
full_cache,178,0
full_cache,179,0
full_cache,180,0
full_cache,181,0
full_cache,182,0
full_cache,183,1
full_cache,184,0
full_cache,185,0
full_cache,186,0
full_cache,187,0
full_cache,188,0
full_cache,189,0
full_cache,190,1
full_cache,191,0
full_cache,192,1
full_cache,193,0
full_cache,194,0
full_cache,195,0
full_cache,196,0
full_cache,197,0
full_cache,198,0
full_cache,199,0
0,0,0
0,1,0
0,2,0
0,3,1
0,4,1
0,5,0
0,6,1
0,7,0
0,8,0
0,9,0
0,10,1
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,1
0,17,1
0,18,0
0,19,0
0,20,1
0,21,0
0,22,1
0,23,1
0,24,1
0,25,0
0,26,0
0,27,1
0,28,1
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,1
0,35,1
0,36,1
0,37,1
0,38,1
0,39,0
0,40,0
0,41,0
0,42,0
0,43,1
0,44,0
0,45,1
0,46,0
0,47,0
0,48,0
0,49,1
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,1
0,57,0
0,58,1
0,59,1
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,1
0,69,0
0,70,0
0,71,0
0,72,1
0,73,0
0,74,0
0,75,0
0,76,1
0,77,1
0,78,0
0,79,0
0,80,0
0,81,0
0,82,1
0,83,1
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,1
0,90,0
0,91,0
0,92,0
0,93,1
0,94,0
0,95,0
0,96,1
0,97,1
0,98,0
0,99,0
0,100,0
0,101,0
0,102,1
0,103,0
0,104,0
0,105,0
0,106,0
0,107,0
0,108,0
0,109,0
0,110,1
0,111,1
0,112,0
0,113,0
0,114,0
0,115,0
0,116,1
0,117,0
0,118,0
0,119,1
0,120,1
0,121,0
0,122,0
0,123,0
0,124,1
0,125,0
0,126,0
0,127,0
0,128,0
0,129,0
0,130,0
0,131,0
0,132,1
0,133,1
0,134,0
0,135,0
0,136,0
0,137,0
0,138,0
0,139,0
0,140,1
0,141,0
0,142,0
0,143,1
0,144,0
0,145,0
0,146,1
0,147,0
0,148,0
0,149,0
0,150,0
0,151,0
0,152,0
0,153,0
0,154,0
0,155,0
0,156,1
0,157,0
0,158,0
0,159,0
0,160,0
0,161,0
0,162,0
0,163,0
0,164,0
0,165,0
0,166,1
0,167,1
0,168,1
0,169,1
0,170,0
0,171,0
0,172,0
0,173,1
0,174,0
0,175,1
0,176,0
0,177,0
0,178,0
0,179,0
0,180,0
0,181,0
0,182,0
0,183,1
0,184,0
0,185,0
0,186,0
0,187,0
0,188,0
0,189,0
0,190,1
0,191,0
0,192,1
0,193,0
0,194,0
0,195,0
0,196,0
0,197,0
0,198,0
0,199,0
1,0,0
1,1,0
1,2,0
1,3,1
1,4,1
1,5,0
1,6,1
1,7,0
1,8,0
1,9,0
1,10,1
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,1
1,17,1
1,18,0
1,19,0
1,20,1
1,21,0
1,22,1
1,23,1
1,24,1
1,25,0
1,26,0
1,27,1
1,28,1
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,1
1,35,1
1,36,1
1,37,1
1,38,1
1,39,0
1,40,0
1,41,0
1,42,0
1,43,1
1,44,0
1,45,1
1,46,0
1,47,0
1,48,0
1,49,1
1,50,0
1,51,0
1,52,0
1,53,0
1,54,0
1,55,0
1,56,1
1,57,0
1,58,1
1,59,1
1,60,0
1,61,0
1,62,0
1,63,0
1,64,0
1,65,0
1,66,0
1,67,0
1,68,1
1,69,0
1,70,0
1,71,0
1,72,1
1,73,0
1,74,0
1,75,0
1,76,1
1,77,1
1,78,0
1,79,0
1,80,0
1,81,0
1,82,1
1,83,1
1,84,0
1,85,0
1,86,0
1,87,0
1,88,0
1,89,1
1,90,0
1,91,0
1,92,0
1,93,1
1,94,0
1,95,0
1,96,1
1,97,1
1,98,0
