level,category,task_code,task_name,task_dataset_name,dataset,metric,method,ratio,score,score_percent,n_samples,n_failures,components
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Localization,ActionLocalization,Accuracy,OneVision-Student,0.1,0.41,41.0,200,,
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Prediction,ActionPrediction,Accuracy,OneVision-Student,0.1,0.68,68.0,200,,
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Sequence,ActionSequence,Accuracy,OneVision-Student,0.1,0.675,67.5,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Moving Attribute,MovingAttribute,Accuracy,OneVision-Student,0.1,0.7,70.0,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Existence,ObjectExistence,Accuracy,OneVision-Student,0.1,0.535,53.5,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Interaction,ObjectInteraction,Accuracy,OneVision-Student,0.1,0.725,72.5,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Shuffle,ObjectShuffle,Accuracy,OneVision-Student,0.1,0.335,33.5,200,,
dataset,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,Egocentric Navigation,EgocentricNavigation,Accuracy,OneVision-Student,0.1,0.33,33.0,200,,
dataset,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,Moving Direction,MovingDirection,Accuracy,OneVision-Student,0.1,0.31,31.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Character Order,CharacterOrder,Accuracy,OneVision-Student,0.1,0.62,62.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Counterfactual Inference,CounterfactualInference,Accuracy,OneVision-Student,0.1,0.42,42.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Scene Transition,SceneTransition,Accuracy,OneVision-Student,0.1,0.94,94.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,State Change,StateChange,Accuracy,OneVision-Student,0.1,0.515,51.5,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Complex Multimodal QA,MultiModalQA,Accuracy,OneVision-Student,0.1,0.755,75.5,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Textbook QA,TQA,Accuracy,OneVision-Student,0.1,0.72,72.0,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Webpage QA,WebQA,Accuracy,OneVision-Student,0.1,0.765,76.5,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,Document QA,DocVQA,Accuracy,OneVision-Student,0.1,0.93,93.0,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,OCR QA,OCR-VQA,Accuracy,OneVision-Student,0.1,0.81,81.0,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,Slide QA,SlideVQA,Accuracy,OneVision-Student,0.1,0.765,76.5,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Change Captioning,CLEVR-Change,ROUGE-L,OneVision-Student,0.1,0.423683,42.37,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Relationship Expressing,IEdit,ROUGE-L,OneVision-Student,0.1,0.319095,31.91,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Change Captioning,Spot-the-Diff,ROUGE-L,OneVision-Student,0.1,0.302819,30.28,200,,
dataset,Semantic Multi-image,S-4,Dialogue,Conversational Embodied Dialogue,ALFRED,ROUGE-L,OneVision-Student,0.1,0.579627,57.96,200,,
dataset,Semantic Multi-image,S-4,Dialogue,Multimodal Dialogue,MMCoQA,Accuracy,OneVision-Student,0.1,0.445,44.5,200,,
dataset,Needle In A Haystack,NH,Needle In A Haystack,Image Needle In A Haystack,ImageNeedleInAHaystack,Accuracy,OneVision-Student,0.1,0.084375,8.44,320,,
dataset,Image Retrieval,IR,Image Retrieval,Image Retrieval,GPR1200,Accuracy,OneVision-Student,0.1,0.385,38.5,600,,
task_average,Temporal Multi-image,T-1,Action Understanding and Prediction,,T-1,Accuracy,OneVision-Student,0.1,0.588333,58.83,,,ActionLocalization;ActionPrediction;ActionSequence
task_average,Temporal Multi-image,T-2,Object and Scene Understanding,,T-2,Accuracy,OneVision-Student,0.1,0.57375,57.38,,,MovingAttribute;ObjectExistence;ObjectInteraction;ObjectShuffle
task_average,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,,T-3,Accuracy,OneVision-Student,0.1,0.32,32.0,,,EgocentricNavigation;MovingDirection
task_average,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,,T-4,Accuracy,OneVision-Student,0.1,0.62375,62.38,,,CharacterOrder;CounterfactualInference;SceneTransition;StateChange
task_average,Semantic Multi-image,S-1,Knowledge Grounded QA,,S-1,Accuracy,OneVision-Student,0.1,0.746667,74.67,,,MultiModalQA;TQA;WebQA
task_average,Semantic Multi-image,S-2,Text-Rich Images QA,,S-2,Accuracy,OneVision-Student,0.1,0.835,83.5,,,DocVQA;OCR-VQA;SlideVQA
task_average,Semantic Multi-image,S-3,Visual Relation Inference,,S-3,ROUGE-L,OneVision-Student,0.1,0.348533,34.85,,,CLEVR-Change;IEdit;Spot-the-Diff
task_average,Semantic Multi-image,S-4,Dialogue,,S-4,Accuracy+ROUGE-L,OneVision-Student,0.1,0.512314,51.23,,,ALFRED;MMCoQA
task_average,Needle In A Haystack,NH,Needle In A Haystack,,NH,Accuracy,OneVision-Student,0.1,0.084375,8.44,,,ImageNeedleInAHaystack
task_average,Image Retrieval,IR,Image Retrieval,,IR,Accuracy,OneVision-Student,0.1,0.385,38.5,,,GPR1200
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Localization,ActionLocalization,Accuracy,OneVision-Student,0.25,0.41,41.0,200,,
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Prediction,ActionPrediction,Accuracy,OneVision-Student,0.25,0.68,68.0,200,,
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Sequence,ActionSequence,Accuracy,OneVision-Student,0.25,0.675,67.5,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Moving Attribute,MovingAttribute,Accuracy,OneVision-Student,0.25,0.695,69.5,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Existence,ObjectExistence,Accuracy,OneVision-Student,0.25,0.53,53.0,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Interaction,ObjectInteraction,Accuracy,OneVision-Student,0.25,0.72,72.0,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Shuffle,ObjectShuffle,Accuracy,OneVision-Student,0.25,0.33,33.0,200,,
dataset,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,Egocentric Navigation,EgocentricNavigation,Accuracy,OneVision-Student,0.25,0.32,32.0,200,,
dataset,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,Moving Direction,MovingDirection,Accuracy,OneVision-Student,0.25,0.31,31.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Character Order,CharacterOrder,Accuracy,OneVision-Student,0.25,0.62,62.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Counterfactual Inference,CounterfactualInference,Accuracy,OneVision-Student,0.25,0.425,42.5,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Scene Transition,SceneTransition,Accuracy,OneVision-Student,0.25,0.94,94.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,State Change,StateChange,Accuracy,OneVision-Student,0.25,0.51,51.0,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Complex Multimodal QA,MultiModalQA,Accuracy,OneVision-Student,0.25,0.755,75.5,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Textbook QA,TQA,Accuracy,OneVision-Student,0.25,0.725,72.5,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Webpage QA,WebQA,Accuracy,OneVision-Student,0.25,0.76,76.0,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,Document QA,DocVQA,Accuracy,OneVision-Student,0.25,0.935,93.5,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,OCR QA,OCR-VQA,Accuracy,OneVision-Student,0.25,0.815,81.5,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,Slide QA,SlideVQA,Accuracy,OneVision-Student,0.25,0.765,76.5,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Change Captioning,CLEVR-Change,ROUGE-L,OneVision-Student,0.25,0.440821,44.08,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Relationship Expressing,IEdit,ROUGE-L,OneVision-Student,0.25,0.327745,32.77,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Change Captioning,Spot-the-Diff,ROUGE-L,OneVision-Student,0.25,0.318229,31.82,200,,
dataset,Semantic Multi-image,S-4,Dialogue,Conversational Embodied Dialogue,ALFRED,ROUGE-L,OneVision-Student,0.25,0.586928,58.69,200,,
dataset,Semantic Multi-image,S-4,Dialogue,Multimodal Dialogue,MMCoQA,Accuracy,OneVision-Student,0.25,0.5,50.0,200,,
dataset,Needle In A Haystack,NH,Needle In A Haystack,Image Needle In A Haystack,ImageNeedleInAHaystack,Accuracy,OneVision-Student,0.25,0.115625,11.56,320,,
dataset,Image Retrieval,IR,Image Retrieval,Image Retrieval,GPR1200,Accuracy,OneVision-Student,0.25,0.385,38.5,600,,
task_average,Temporal Multi-image,T-1,Action Understanding and Prediction,,T-1,Accuracy,OneVision-Student,0.25,0.588333,58.83,,,ActionLocalization;ActionPrediction;ActionSequence
task_average,Temporal Multi-image,T-2,Object and Scene Understanding,,T-2,Accuracy,OneVision-Student,0.25,0.56875,56.88,,,MovingAttribute;ObjectExistence;ObjectInteraction;ObjectShuffle
task_average,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,,T-3,Accuracy,OneVision-Student,0.25,0.315,31.5,,,EgocentricNavigation;MovingDirection
task_average,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,,T-4,Accuracy,OneVision-Student,0.25,0.62375,62.38,,,CharacterOrder;CounterfactualInference;SceneTransition;StateChange
task_average,Semantic Multi-image,S-1,Knowledge Grounded QA,,S-1,Accuracy,OneVision-Student,0.25,0.746667,74.67,,,MultiModalQA;TQA;WebQA
task_average,Semantic Multi-image,S-2,Text-Rich Images QA,,S-2,Accuracy,OneVision-Student,0.25,0.838333,83.83,,,DocVQA;OCR-VQA;SlideVQA
task_average,Semantic Multi-image,S-3,Visual Relation Inference,,S-3,ROUGE-L,OneVision-Student,0.25,0.362265,36.23,,,CLEVR-Change;IEdit;Spot-the-Diff
task_average,Semantic Multi-image,S-4,Dialogue,,S-4,Accuracy+ROUGE-L,OneVision-Student,0.25,0.543464,54.35,,,ALFRED;MMCoQA
task_average,Needle In A Haystack,NH,Needle In A Haystack,,NH,Accuracy,OneVision-Student,0.25,0.115625,11.56,,,ImageNeedleInAHaystack
task_average,Image Retrieval,IR,Image Retrieval,,IR,Accuracy,OneVision-Student,0.25,0.385,38.5,,,GPR1200
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Localization,ActionLocalization,Accuracy,OneVision-Student,0.5,0.405,40.5,200,,
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Prediction,ActionPrediction,Accuracy,OneVision-Student,0.5,0.68,68.0,200,,
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Sequence,ActionSequence,Accuracy,OneVision-Student,0.5,0.675,67.5,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Moving Attribute,MovingAttribute,Accuracy,OneVision-Student,0.5,0.7,70.0,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Existence,ObjectExistence,Accuracy,OneVision-Student,0.5,0.53,53.0,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Interaction,ObjectInteraction,Accuracy,OneVision-Student,0.5,0.725,72.5,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Shuffle,ObjectShuffle,Accuracy,OneVision-Student,0.5,0.33,33.0,200,,
dataset,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,Egocentric Navigation,EgocentricNavigation,Accuracy,OneVision-Student,0.5,0.32,32.0,200,,
dataset,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,Moving Direction,MovingDirection,Accuracy,OneVision-Student,0.5,0.315,31.5,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Character Order,CharacterOrder,Accuracy,OneVision-Student,0.5,0.62,62.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Counterfactual Inference,CounterfactualInference,Accuracy,OneVision-Student,0.5,0.43,43.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Scene Transition,SceneTransition,Accuracy,OneVision-Student,0.5,0.94,94.0,200,,
