dataset,metric,mode,ratio,score,n_samples,n_failures
ALFRED,ROUGE-L,future_all_token,0.2,0.2588,200,0
ActionLocalization,Accuracy,future_all_token,0.2,0.2650,200,0
ActionPrediction,Accuracy,future_all_token,0.2,0.5400,200,0
ActionSequence,Accuracy,future_all_token,0.2,0.4600,200,0
CLEVR-Change,ROUGE-L,future_all_token,0.2,0.1438,200,0
CharacterOrder,Accuracy,future_all_token,0.2,0.4800,200,0
CounterfactualInference,Accuracy,future_all_token,0.2,0.2600,200,0
DocVQA,Accuracy,future_all_token,0.2,0.5100,200,0
EgocentricNavigation,Accuracy,future_all_token,0.2,0.3300,200,0
GPR1200,Accuracy,future_all_token,0.2,0.1217,600,0
IEdit,ROUGE-L,future_all_token,0.2,0.0920,200,0
ImageNeedleInAHaystack,ROUGE-L,future_all_token,0.2,0.0000,320,0
MMCoQA,ROUGE-L,future_all_token,0.2,0.3638,200,0
MovingAttribute,Accuracy,future_all_token,0.2,0.5150,200,0
MovingDirection,Accuracy,future_all_token,0.2,0.3350,200,0
MultiModalQA,Accuracy,future_all_token,0.2,0.7600,200,0
OCR-VQA,Accuracy,future_all_token,0.2,0.3200,200,0
ObjectExistence,Accuracy,future_all_token,0.2,0.4900,200,0
ObjectInteraction,Accuracy,future_all_token,0.2,0.5200,200,0
ObjectShuffle,Accuracy,future_all_token,0.2,0.3150,200,0
SceneTransition,Accuracy,future_all_token,0.2,0.7250,200,0
SlideVQA,Accuracy,future_all_token,0.2,0.4450,200,0
Spot-the-Diff,ROUGE-L,future_all_token,0.2,0.1955,200,0
StateChange,Accuracy,future_all_token,0.2,0.3750,200,0
TQA,Accuracy,future_all_token,0.2,0.4750,200,0
TextNeedleInAHaystack,ROUGE-L,future_all_token,0.2,0.0023,320,0
WebQA,Accuracy,future_all_token,0.2,0.5750,200,0
WikiVQA,Accuracy,future_all_token,0.2,0.6050,200,0
nuscenes,Accuracy,future_all_token,0.2,0.6100,200,0
