dataset,metric,mode,ratio,score,n_samples,n_failures
ActionLocalization,Accuracy,future_all_token,0.2,0.265,200,0
ActionPrediction,Accuracy,future_all_token,0.2,0.54,200,0
ActionSequence,Accuracy,future_all_token,0.2,0.465,200,0
ALFRED,ROUGE-L,future_all_token,0.2,0.2594,200,0
CharacterOrder,Accuracy,future_all_token,0.2,0.47,200,0
CLEVR-Change,ROUGE-L,future_all_token,0.2,0.1471,200,0
CounterfactualInference,Accuracy,future_all_token,0.2,0.3,200,0
DocVQA,Accuracy,future_all_token,0.2,0.495,200,0
EgocentricNavigation,Accuracy,future_all_token,0.2,0.32,200,0
GPR1200,Accuracy,future_all_token,0.2,0.1217,600,0
IEdit,ROUGE-L,future_all_token,0.2,0.0816,200,0
ImageNeedleInAHaystack,ROUGE-L,future_all_token,0.2,0.0,320,0
MMCoQA,ROUGE-L,future_all_token,0.2,0.3875,200,0
MovingAttribute,Accuracy,future_all_token,0.2,0.515,200,0
MovingDirection,Accuracy,future_all_token,0.2,0.335,200,0
MultiModalQA,Accuracy,future_all_token,0.2,0.765,200,0
nuscenes,Accuracy,future_all_token,0.2,0.61,200,0
ObjectExistence,Accuracy,future_all_token,0.2,0.49,200,0
ObjectInteraction,Accuracy,future_all_token,0.2,0.52,200,0
ObjectShuffle,Accuracy,future_all_token,0.2,0.315,200,0
OCR-VQA,Accuracy,future_all_token,0.2,0.315,200,0
SceneTransition,Accuracy,future_all_token,0.2,0.75,200,0
SlideVQA,Accuracy,future_all_token,0.2,0.45,200,0
Spot-the-Diff,ROUGE-L,future_all_token,0.2,0.208,200,0
StateChange,Accuracy,future_all_token,0.2,0.41,200,0
TextNeedleInAHaystack,ROUGE-L,future_all_token,0.2,0.0044,320,0
TQA,Accuracy,future_all_token,0.2,0.47,200,0
WebQA,Accuracy,future_all_token,0.2,0.605,200,0
WikiVQA,Accuracy,future_all_token,0.2,0.65,200,0
